dealer_id,region,quarter,find_product,add_to_cart,begin_checkout,conversion_rate,sales,package_tier
1001,Southeast,2024Q1,1200,300,120,0.025,45000,Base
1002,Southeast,2024Q1,1400,330,140,0.028,52000,Base+Ad
1003,West,2024Q1,1600,380,165,0.03,61000,Advanced
1004,Midwest,2024Q1,1100,260,100,0.022,39000,Base
1005,West,2024Q2,1700,410,180,0.031,64000,Advanced
1006,Southeast,2024Q2,1500,350,150,0.027,56000,Base+Ad
1007,Midwest,2024Q2,1300,300,125,0.026,50000,Base
1008,Northeast,2024Q2,1550,360,145,0.029,58000,Base+Ad
1009,West,2024Q3,1800,450,190,0.032,70000,Pro
1010,Southeast,2024Q3,1600,380,160,0.029,60000,Advanced
1011,Midwest,2024Q3,1400,320,135,0.025,52000,Base+Ad
1012,Northeast,2024Q3,1450,330,140,0.026,53000,Base+Ad
1013,West,2024Q4,1850,470,200,0.033,72000,Pro
1014,Southeast,2024Q4,1650,400,170,0.03,63000,Advanced
1015,Midwest,2024Q4,1500,340,145,0.027,56000,Base+Ad
1016,Northeast,2024Q4,1550,360,150,0.028,59000,Base+Ad
